(1983)	anonymous1983	Chinese
Yoshiwara (1901)	Yoshiwara1901	Japanese
Young (1900)	Young1900	English
Young & Ambrose (1978)	Young1978	
Young (1974)	Young1974	English [with French abstract/summary]
Young & Govind (1983)	Young1983	
Yparreguirre (1981)	Yparreguirre1981	English
Yu et al. (1975)	Yu1975	English
Yu & Kim (2012)	Yu2012	
Yun et al. (2015)	Yun2015	Chinese and English
Zahnow (1987)	Zahnow1987	English
Zahnow & Rao (1985)	Zahnow1985	English
Zanders & Rojas (1996)	Zanders1996.3	
Zanders & Rojas (1996)	Zanders1996.1	
Zanders & Rojas (1996)	Zanders1996.2	
Zann (1979)	Zann1979	English
Zehntner (1894)	Zehntner1894	French
Zeil (1998)	Zeil1998	
Zeil & Al-Mutairi (1996)	Zeil1996	
Zeil & Hemmi (2001)	Zeil2001.2	
Zeil & Hemmi (2001)	Zeil2001.1	
Zeil & Hemmi (2006)	Zeil2006.1	
Zeil et al. (2006)	Zeil2006.2	English
Zeil & Hofmann (2001)	Zeil2001.3	
Zeil & Layne (2002)	Zeil2002	
Zeil et al. (1986)	Zeil1986	English
Zeil & Zanker (1997)	Zeil1997	
Zeleny (1905)	Zeleny1905.2	English
Zeleny (1905)	Zeleny1905.1	English
Zeng et al. (2014)	Zeng2014	English [with French abstract/summary]
Zengel et al. (2016)	Zengel2016	English
Zerbini & Berberian (1974)	Zerbini1974	
Zhao et al. (2017)	Zhao2017	English
Zhong et al. (2003)	Zhong2003	
Zhu et al. (2012)	Zhu2012	English
Zimmer et al. (1999)	Zimmer1999	English
Zou (1999)	Zou1999.1	English
Zou (2003)	Zou2003.1	English
Zou (2005)	Zou2005.2	English
Zou (2005)	Zou2005.1	
Zou (2007)	Zou2007	English
Zou & Bonvillain (2003)	Zou2003.2	
Zou & Bonvillain (2003)	Zou2003.3	English
Zou & Bonvillain (2004)	Zou2004.1	
Zou & Bonvillain (2004)	Zou2004.2	English
Zou & Fingerman (1998)	Zou1998	English
Zou & Fingerman (1999)	Zou1999.4	
Zou & Fingerman (1999)	Zou1999.3	
Zou & Fingerman (1999)	Zou1999.2	
Zou & Fingerman (1999)	Zou1999.6	English
Zou & Fingerman (1999)	Zou1999.5	
Zou & Fingerman (2000)	Zou2000	
Zucker (1972)	Zucker1972	English
Zucker (1974)	Zucker1974	English
Zucker (1976)	Zucker1976	English
Zucker (1977)	Zucker1977	English
Zucker (1978)	Zucker1978	
Zucker (1980)	Zucker1980	English
Zucker (1981)	Zucker1981	
Zucker (1983)	Zucker1983	
Zucker (1984)	Zucker1984	
Zucker (1986)	Zucker1986	English
Zucker & Denny (1979)	Zucker1979	English
Zucker (1973)	Zucker1973	English
Zulkifli et al. (2012)	Zulkifli2012	English
Zwarts (1984)	Zwarts1984	English
Zwarts (1985)	Zwarts1985	English [with Dutch abstract/summary]
Zwarts (1988)	Zwarts1988	English [with Dutch abstract/summary and French abstract/summary]
Zwarts (1990)	Zwarts1990.1	English [with Dutch abstract/summary and French abstract/summary]
Zwarts & Blomert (1990)	Zwarts1990.2	English [with Dutch abstract/summary and French abstract/summary]
Zwarts & Dirksen (1989)	Zwarts1989	English
Zwarts & Dirksen (1990)	Zwarts1990.3	English [with Dutch abstract/summary and French abstract/summary]
